movie,year,genre,color,language,country,rating,duration,budget
Juno,2007,Comedy,Color,English,USA,PG-13,96,7500000
Juno,2007,Comedy,Color,English,USA,PG-13,96,7500000
A Room with a View,1985,Drama,Color,English,UK,Unrated,117,3000000
Metropolis,1927,Drama,Black and White,German,Germany,Not Rated,145,6000000
Captain America: Civil War,2016,Action,Color,English,USA,PG-13,147,250000000
Jurassic Park,1993,Adventure,Color,English,USA,PG-13,127,63000000
How to Train Your Dragon 2,2014,Action,Color,English,USA,PG,102,145000000
Taxi to the Dark Side,2007,Crime,Color,English,USA,R,53,1000000
Selma,2014,Biography,Color,English,UK,PG-13,128,20000000
Fruitvale Station,2013,Biography,Color,English,USA,R,85,900000
Fight Club,1999,Drama,Color,English,USA,R,151,63000000
X-Men: Days of Future Past,2014,Action,Color,English,USA,PG-13,149,200000000
Harry Potter and the Prisoner of Azkaban,2004,Adventure,Color,English,UK,PG,142,130000000
Dazed and Confused,1993,Comedy,Color,English,USA,R,102,6900000
Rush,2013,Action,Color,English,UK,R,123,38000000
Almost Famous,2000,Adventure,Color,English,USA,R,152,60000000
Glory,1989,Drama,Color,English,USA,R,122,18000000
Glory,1989,Drama,Color,English,USA,R,122,18000000
The Fighter,2010,Biography,Color,English,USA,R,116,25000000
Nebraska,2013,Adventure,Black and White,English,USA,R,115,12000000
The Lunchbox,2013,Drama,Color,Hindi,India,PG,104,1000000
Milk,2008,Biography,Color,English,USA,R,128,20000000
The Damned United,2009,Biography,Color,English,UK,R,98,10000000
Dirty Pretty Things,2002,Crime,Color,English,UK,R,97,10000000
Cape Fear,1991,Crime,Color,English,USA,R,128,35000000
Deliver Us from Evil,2014,Horror,Color,English,USA,R,118,30000000
Batman Begins,2005,Action,Color,English,USA,PG-13,128,150000000
Dead Poets Society,1989,Comedy,Color,English,USA,PG,128,16400000
The Last of the Mohicans,1992,Action,Color,English,USA,R,117,40000000
The Big Short,2015,Biography,Color,English,USA,R,130,28000000
City of Life and Death,2009,Drama,Black and White,Mandarin,China,R,132,12000000
127 Hours,2010,Adventure,Color,English,USA,R,94,18000000
West Side Story,1961,Crime,Color,English,USA,Unrated,152,6000000
Spider-Man 2,2004,Action,Color,English,USA,PG-13,135,200000000
Face/Off,1997,Action,Color,English,USA,R,138,80000000
Casino,1995,Biography,Color,English,USA,R,178,52000000
The Big Lebowski,1998,Comedy,Color,English,USA,R,117,15000000
Gone Girl,2014,Crime,Color,English,USA,R,149,61000000
Butch Cassidy and the Sundance Kid,1969,Biography,Color,English,USA,M,110,6000000
True Grit,2010,Adventure,Color,English,USA,PG-13,110,38000000
Frost/Nixon,2008,Drama,Color,English,USA,R,122,35000000
Brokeback Mountain,2005,Drama,Color,English,USA,R,134,14000000
Apollo 13,1995,Adventure,Color,English,USA,PG,140,62000000
Sicario,2015,Action,Color,English,USA,R,121,30000000
A Nightmare on Elm Street,1984,Horror,Color,English,USA,X,101,1800000
Sideways,2004,Adventure,Color,English,USA,R,126,12000000
From Russia with Love,1963,Action,Color,English,UK,Approved,115,2000000
A Nightmare on Elm Street,1984,Horror,Color,English,USA,X,101,1800000
Election,1999,Comedy,Color,English,USA,R,103,8000000
American History X,1998,Crime,Black and White,English,USA,R,101,7500000
Indiana Jones and the Last Crusade,1989,Action,Color,English,USA,PG-13,127,48000000
The Imitation Game,2014,Biography,Color,English,UK,PG-13,114,14000000
The Untouchables,1987,Crime,Color,English,USA,R,119,25000000
Captain America: The Winter Soldier,2014,Action,Color,English,USA,PG-13,136,170000000
Ponyo,2008,Adventure,Color,Japanese,Japan,G,101,34000000
Dawn of the Planet of the Apes,2014,Action,Color,English,USA,PG-13,130,170000000
United 93,2006,Drama,Color,English,USA,R,111,15000000
Escape from Alcatraz,1979,Biography,Color,English,USA,PG,112,8000000
Looper,2012,Action,Color,English,USA,R,119,30000000
Warrior,2011,Drama,Color,English,USA,PG-13,140,25000000
District 9,2009,Action,Color,English,South Africa,R,112,30000000
Skyfall,2012,Action,Color,English,UK,PG-13,143,200000000
Skyfall,2012,Action,Color,English,UK,PG-13,143,200000000
Maurice,1987,Drama,Color,English,UK,R,140,2600000
Midnight in Paris,2011,Comedy,Color,English,Spain,PG-13,94,17000000
The Great Beauty,2013,Drama,Color,Italian,Italy,Not Rated,172,9200000
Vera Drake,2004,Crime,Color,English,UK,R,125,11000000
50/50,2011,Comedy,Color,English,USA,R,100,8000000
Dead Man Walking,1995,Crime,Color,English,UK,R,122,11000000
Menace II Society,1993,Crime,Color,English,USA,R,97,3500000
Forrest Gump,1994,Comedy,Black and White,English,USA,PG-13,142,55000000
True Romance,1993,Action,Color,English,USA,R,121,13000000
The Last Emperor,1987,Biography,Color,English,China,PG-13,219,23000000
Ex Machina,2015,Drama,Black and White,English,UK,R,108,15000000
Boys Don't Cry,1999,Biography,Color,English,USA,R,118,2000000
Best in Show,2000,Comedy,Color,English,USA,PG-13,90,6000000
Welcome to the Dollhouse,1995,Comedy,Color,English,USA,R,88,800000
Tootsie,1982,Comedy,Color,English,USA,PG,116,22000000
Duma,2005,Adventure,Color,English,USA,PG,100,12000000
Amélie,2001,Comedy,Black and White,French,France,R,122,77000000
Big Hero 6,2014,Action,Color,English,USA,PG,102,165000000
The Bourne Supremacy,2004,Action,Color,English,USA,PG-13,108,75000000
What's Eating Gilbert Grape,1993,Drama,Color,English,USA,PG-13,118,11000000
Clerks,1994,Comedy,Black and White,English,USA,R,102,230000
Capote,2005,Biography,Color,English,Canada,R,110,7000000
The Crying Game,1992,Crime,Color,English,UK,R,112,2300000
Three Kings,1999,Action,Color,English,USA,R,114,48000000
Requiem for a Dream,2000,Drama,Color,English,USA,R,102,4500000
Serenity,2005,Action,Color,English,USA,PG-13,119,40000000
Mystic River,2003,Crime,Color,English,USA,R,138,25000000
Malcolm X,1992,Biography,Color,English,USA,PG-13,202,33000000
Zombieland,2009,Adventure,Color,English,USA,R,88,23600000
The Secret of Kells,2009,Adventure,Color,English,France,Not Rated,75,6500000
Philomena,2013,Biography,Color,English,UK,PG-13,98,12000000
Inside Llewyn Davis,2013,Drama,Color,English,USA,R,104,11000000
20 Feet from Stardom,2013,Documentary,Color,English,USA,PG-13,91,1000000
Superman,1978,Action,Color,English,USA,PG,188,55000000
Little Women,1994,Drama,Color,English,USA,PG,115,15000000
Diner,1982,Comedy,Color,English,USA,R,110,5000000
"Sex, Lies, and Videotape",1989,Drama,Color,English,USA,R,100,1200000
The Sixth Sense,1999,Drama,Color,English,USA,PG-13,107,40000000
Tangled,2010,Adventure,Color,English,USA,PG,100,260000000
The Jungle Book,2016,Adventure,Color,English,UK,PG,106,175000000
The Jungle Book,2016,Adventure,Color,English,UK,PG,106,175000000
Blazing Saddles,1974,Comedy,Color,English,USA,R,93,2600000
The Hunger Games: Catching Fire,2013,Adventure,Color,English,USA,PG-13,146,130000000
Bridge of Spies,2015,Drama,Color,English,USA,PG-13,142,40000000
Lone Star,1996,Drama,Color,English,USA,R,135,5000000
Take Shelter,2011,Drama,Color,English,USA,R,121,5000000
An Education,2009,Drama,Color,English,UK,PG-13,100,4500000
Prisoners,2013,Crime,Color,English,USA,R,153,46000000
Life of Pi,2012,Adventure,Color,English,USA,PG,127,120000000
Cinderella Man,2005,Biography,Color,English,USA,PG-13,144,88000000
Rain Man,1988,Drama,Color,English,USA,R,133,25000000
Black Swan,2010,Drama,Color,English,USA,R,108,13000000
The Perks of Being a Wallflower,2012,Drama,Color,English,USA,PG-13,102,13000000
Moon,2009,Drama,Color,English,UK,R,97,5000000
The Color Purple,1985,Drama,Color,English,USA,PG-13,154,15000000
Drive,2011,Crime,Color,English,USA,R,100,15000000
Star Trek: First Contact,1996,Action,Color,English,USA,PG-13,111,45000000
In the Bedroom,2001,Crime,Color,English,USA,R,138,1700000
Zero Dark Thirty,2012,Drama,Color,English,USA,R,157,40000000
Monsoon Wedding,2001,Comedy,Color,Hindi,India,R,114,7000000
Assault on Precinct 13,2005,Action,Color,English,USA,R,109,20000000
The Prestige,2006,Drama,Color,English,USA,PG-13,130,40000000
The Other Dream Team,2012,Documentary,Color,English,USA,Not Rated,89,500000
Into the Wild,2007,Adventure,Color,English,USA,R,148,15000000
JFK,1991,Drama,Black and White,English,France,R,206,40000000
Dances with Wolves,1990,Adventure,Color,English,USA,PG-13,236,22000000
Sicko,2007,Documentary,Color,English,USA,PG-13,123,9000000
Control,2007,Biography,Black and White,English,UK,R,122,4500000
The Last King of Scotland,2006,Biography,Color,English,UK,R,121,6000000
